ID	Sample_ID	species	sp	seqruns	site	pop	poptype	sp_msat_nuc	sp_mtDNA	sp_msat_overall
mmur044	AB18	murinus	mmur	r03	Ambatoabo	mur-C	parapatric	mmur	mmur	mmur
mmur045	MG17	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur046	MG19	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur047	MG23	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur048	MG28	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur049	MG42	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur050	MG49	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur051	MG58	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur052	MG65	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur053	MG66	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur054	MG67	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur055	MG68	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur056	MG73	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur057	MG75	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur058	MG79	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur059	MG83	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur060	MG84	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur061	MG88	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur062	MG92	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur063	Micro04	murinus	mmur	r03	Tsimelahy	mur-C	sympatric	mmur	mmur	mmur
mmur064	Micro06	murinus	mmur	r03	Tsimelahy	mur-C	sympatric	mmur	mmur	mmur
mmur065	Micro12	murinus	mmur	r03	Tsimelahy	mur-C	sympatric	mmur	mmur	mmur
mmur066	Micro24	murinus	mmur	r03	Tsimelahy	mur-C	sympatric	mmur	mmur	mmur
mmur067	Micro25	murinus	mmur	r03	Tsimelahy	mur-C	sympatric	mmur	mmur	mmur
mmur068	Micro27	murinus	mmur	r03	Tsimelahy	mur-C	sympatric	mmur	mmur	mmur
mmur069	Micro38	murinus	mmur	r03	Tsimelahy	mur-C	sympatric	mmur	mmur	mmur
mmur070	Micro49	murinus	mmur	r03	Tsimelahy	mur-C	sympatric	mmur	mmur	mmur
mmur071	Micro88	murinus	mmur	r03	Mangatsiaka	mur-C	sympatric	mmur	mmur	mmur
mmur072	TM42	murinus	mmur	r03	Tsimelahy	mur-C	sympatric	mmur	mmur	mmur
mmur073	TM43	murinus	mmur	r03	Tsimelahy	mur-C	sympatric	mmur	mmur	mmur
mmur074	TM44	murinus	mmur	r03	Tsimelahy	mur-C	sympatric	mmur	mmur	mmur
mmur075	TM47	murinus	mmur	r03	Tsimelahy	mur-C	sympatric	mmur	mmur	mmur
mmur076	TM48	murinus	mmur	r03	Tsimelahy	mur-C	sympatric	mmur	mmur	mmur
mmur077	TM53	murinus	mmur	r03	Tsimelahy	mur-C	sympatric	mmur	mmur	mmur
