Lab_ID	species_2018	Site	Year	RADseq_done	RADseq_pass	RADseq_rescue	DnaConc_Duke
TM 42	Mm	Petriky	1999	1	1	0	12.1
TM 43	Mm	Petriky	1999	1	0	1	20.8
TM 44	Mm	Petriky	1999	1	0	0	9.8
TM 46	Mg	Petriky	1999	1	1	0	19.4
TM 47	Mm	Petriky	1999	1	0	0	11.4
TM 48	Mm	Petriky	1999	1	0	1	31
TM 49	Mg	Petriky	1999	1	0	0	14.7
TM 50	Mg	Petriky	1999	1	0	1	4.6
TM 51	Mg	Petriky	1999	1	1	0	16.9
TM 52	Mg	Petriky	1999	1	1	0	22.2
TM 53	Mm	Petriky	1999	1	0	1	28.2
